EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, SAENTIS (STAID: 243).
Blended and updated with sources: 100755 906680 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100755,19010803,    0,    0
100755,19010804,    0,    0
100755,19010805,   42,    0
100755,19010806,  321,    0
100755,19010807,   82,    0
100755,19010808,    0,    0
100755,19010809,    0,    0
100755,19010810,   58,    0
100755,19010811,   81,    0
100755,19010812,  241,    0
100755,19010813,   44,    0
100755,19010814,    0,    0
100755,19010815,  590,    0
100755,19010816,  353,    0
100755,19010817,    0,    0
100755,19010818,    0,    0
100755,19010819,    1,    0
100755,19010820,    0,    0
100755,19010821,    0,    0
100755,19010822,    0,    0
100755,19010823,    0,    0
100755,19010824,    0,    0
100755,19010825,  118,    0
100755,19010826,  486,    0
100755,19010827,    3,    0
100755,19010828,  442,    0
100755,19010829,    3,    0
100755,19010830,    0,    0
100755,19010831,    0,    0
100755,19010901,   67,    0
100755,19010902,    1,    0
100755,19010903,   20,    0
100755,19010904,   36,    0
100755,19010905,   71,    0
100755,19010906,   83,    0
100755,19010907,    0,    0
100755,19010908,    0,    0
100755,19010909,  138,    0
100755,19010910,  231,    0
100755,19010911,  174,    0
100755,19010912,  175,    0
100755,19010913,  304,    0
100755,19010914,  231,    0
100755,19010915,  283,    0
100755,19010916,    3,    0
100755,19010917,  146,    0
100755,19010918,    2,    0
100755,19010919,    0,    0
100755,19010920,    0,    0
100755,19010921,    0,    0
100755,19010922,    0,    0
100755,19010923,    0,    0
100755,19010924,    3,    0
100755,19010925,   70,    0
100755,19010926,  211,    0
100755,19010927,  117,    0
100755,19010928,    0,    0
100755,19010929,    0,    0
100755,19010930,    0,    0
100755,19011001,    0,    0
100755,19011002,    0,    0
100755,19011003,    0,    0
100755,19011004,   76,    0
100755,19011005,   71,    0
100755,19011006,  653,    0
100755,19011007,  302,    0
100755,19011008,  280,    0
100755,19011009,  632,    0
100755,19011010,   61,    0
100755,19011011,    0,    0
